,order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
23,ORDB04361,2018-06-21,13:34:38,Lunch,TP,"[('Salad', 7), ('Chicken', 7)]",344.4,-37.816416,144.94590159999998,0,9.482000000000001,12.9131338
24,ORDB03745,2018-09-02,16:06:45,Dinner,TP,"[('Fish&Chips', 7), ('Pasta', 1)]",272.5,-37.8134431,144.9656238,0,8.214,14.3650457
25,ORDX07918,2018-10-12,17:27:53,Dinner,BK,"[('Fish&Chips', 9), ('Salmon', 2), ('Pasta', 9), ('Shrimp', 5)]",914.5,-37.81798,144.9668347,0,7.5329999999999995,14.201631200000001
27,ORDX00772,2018-02-08,09:10:59,Breakfast,BK,"[('Cereal', 3), ('Eggs', 4), ('Coffee', 6), ('Pancake', 5)]",317.25,-37.8217584,144.9811986,0,7.016,12.032605300000002
28,ORDX00782,2018-10-31,17:58:18,Dinner,BK,"[('Shrimp', 9), ('Pasta', 10), ('Salmon', 7), ('Fish&Chips', 2)]",1118.0,-37.8044173,144.93469109999998,0,10.072000000000001,17.1401575
29,ORDJ00824,2018-06-13,13:24:30,Lunch,TP,"[('Fries', 2), ('Salad', 3)]",75.6,-37.811393200000005,144.95333440000002,0,8.957,12.078693199999998
30,ORDJ08526,2018-02-17,09:31:16,Breakfast,TP,"[('Pancake', 10), ('Eggs', 9)]",440.5,-37.8095845,144.9616905,0,8.596,12.5112472
31,ORDZ02936,2018-01-29,08:50:42,Breakfast,NS,"[('Eggs', 8), ('Pancake', 4), ('Cereal', 4), ('Coffee', 1)]",364.5,-37.8049956,144.9676366,0,6.752999999999999,11.024448300000001
32,ORDK07369,2018-09-13,16:27:02,Dinner,BK,"[('Pasta', 10), ('Salmon', 3)]",398.0,-37.802569500000004,144.95690430000002,0,8.269,14.785294699999998
33,ORDZ09404,2018-10-27,17:58:18,Dinner,NS,"[('Salmon', 9), ('Pasta', 1), ('Shrimp', 10)]",936.5,-37.818567200000004,144.99915149999998,0,10.047,18.1063465
34,ORDJ07965,2018-07-20,14:35:29,Lunch,TP,"[('Burger', 8), ('Chicken', 8), ('Fries', 7), ('Steak', 1), ('Salad', 8)]",770.6,-37.8144347,144.9429071,0,9.851,13.1387148
35,ORDI01900,2018-06-24,13:44:47,Lunch,NS,"[('Burger', 3), ('Salad', 8), ('Steak', 10), ('Chicken', 8)]",936.6,-37.8109126,144.9457174,0,9.101,16.155401
36,ORDJ07756,2018-02-14,09:21:07,Breakfast,TP,"[('Eggs', 2), ('Cereal', 3), ('Pancake', 10)]",349.5,-37.823723,144.9807934,0,8.507,11.0563045
38,ORDZ05009,2018-04-30,11:53:14,Breakfast,NS,"[('Coffee', 9), ('Eggs', 5), ('Cereal', 5)]",282.5,-37.823636,144.969217,0,9.068999999999999,14.0888228
39,ORDI10798,2018-04-10,11:12:40,Breakfast,NS,"[('Eggs', 1), ('Pancake', 9)]",240.25,-37.805070799999996,144.97234219999999,0,6.8629999999999995,11.9689399
40,ORDC06474,2018-11-17,18:38:52,Dinner,NS,"[('Shrimp', 5), ('Pasta', 9)]",517.5,-37.8019896,144.9662653,0,6.601,15.3823362
41,ORDI04676,2018-07-19,14:35:29,Lunch,NS,"[('Fries', 9), ('Chicken', 3), ('Burger', 2), ('Salad', 6)]",369.2,-37.8185257,144.96798619999998,0,8.418,13.9486459
42,ORDA10364,2018-06-10,13:14:21,Lunch,BK,"[('Burger', 3), ('Chicken', 5), ('Steak', 8)]",613.0,-37.800987400000004,144.992572,0,5.718,14.044444699999998
43,ORDX05456,2018-02-18,09:31:16,Breakfast,BK,"[('Cereal', 3), ('Eggs', 4), ('Coffee', 9), ('Pancake', 6)]",364.0,-37.808050099999996,144.94533330000002,0,9.228,16.904003200000002
44,ORDJ01818,2018-05-12,12:13:31,Lunch,TP,"[('Steak', 1), ('Salad', 1), ('Fries', 5)]",122.2,-37.8030895,144.9620835,0,9.408,13.5489396
45,ORDY06048,2018-02-04,09:00:50,Breakfast,TP,"[('Pancake', 6), ('Cereal', 10)]",355.5,-37.817335899999996,144.9915902,0,9.887,13.9968958
47,ORDZ10054,2018-10-27,17:58:18,Dinner,NS,"[('Pasta', 7), ('Salmon', 10), ('Fish&Chips', 3)]",707.5,-37.8111269,144.9451274,0,9.869,17.386643600000003
48,ORDA00754,2018-01-10,08:10:08,Breakfast,BK,"[('Coffee', 8), ('Pancake', 4), ('Cereal', 7), ('Eggs', 5)]",414.0,-37.801967499999996,144.9540731,1,8.417,6.4639572
49,ORDK08566,2018-02-04,09:00:50,Breakfast,BK,"[('Eggs', 1), ('Cereal', 7)]",169.0,-37.819578799999995,144.9601494,0,8.105,15.586188199999999
50,ORDA07656,2018-09-29,16:57:27,Dinner,BK,"[('Shrimp', 3), ('Salmon', 3)]",285.0,-37.8051044,144.9521935,0,8.445,17.9382365
51,ORDA01796,2018-01-26,08:50:42,Breakfast,BK,"[('Cereal', 3), ('Eggs', 2), ('Pancake', 3), ('Coffee', 5)]",217.25,-37.820226399999996,144.95312119999997,0,8.789,13.727503500000001
52,ORDB00183,2018-12-21,19:39:43,Dinner,TP,"[('Pasta', 1), ('Fish&Chips', 8)]",307.5,-37.8142946,144.9328163,0,11.19,14.8544071
53,ORDB09217,2018-01-11,08:20:16,Breakfast,TP,"[('Pancake', 8), ('Cereal', 7), ('Coffee', 8)]",401.0,-37.8163883,144.9838774,1,9.246,6.269824
54,ORDA09074,2018-12-23,19:49:51,Dinner,BK,"[('Salmon', 9), ('Pasta', 7), ('Fish&Chips', 2), ('Shrimp', 7)]",1009.5,-37.8089368,144.95510869999998,0,8.295,17.124992300000002
55,ORDI04165,2018-07-26,14:45:38,Lunch,NS,"[('Salad', 1), ('Burger', 2), ('Chicken', 9)]",367.2,-37.8043032,144.9673419,0,6.932,12.2367546
56,ORDY00448,2018-05-28,12:54:05,Lunch,TP,"[('Burger', 2), ('Steak', 5), ('Chicken', 5), ('Fries', 5)]",507.0,-37.8144748,144.9737909,0,8.497,12.489785699999999
57,ORDK06606,2018-01-06,08:10:08,Breakfast,BK,"[('Coffee', 3), ('Eggs', 2), ('Cereal', 8)]",234.5,-37.822337899999994,144.96099719999998,1,8.33,7.788433599999999
58,ORDX03452,2018-11-13,18:28:43,Dinner,BK,"[('Pasta', 2), ('Fish&Chips', 9), ('Salmon', 4), ('Shrimp', 6)]",858.0,-37.806175399999994,144.9445034,0,9.222999999999999,16.2074872
59,ORDK02512,2018-12-28,20:00:00,Dinner,BK,"[('Shrimp', 3), ('Pasta', 8), ('Salmon', 6), ('Fish&Chips', 4)]",768.0,-37.8200777,144.95059650000002,0,9.03,16.156886800000002
60,ORDX02248,2018-04-11,11:12:40,Breakfast,BK,"[('Eggs', 1), ('Pancake', 6), ('Coffee', 10)]",242.5,-37.8235083,144.9674029,0,8.145,13.475667800000002
61,ORDB05993,2018-05-02,11:53:14,Breakfast,TP,"[('Pancake', 10), ('Coffee', 1), ('Cereal', 3)]",313.0,-37.808647799999996,144.9529789,0,9.261000000000001,11.9537969
62,ORDX07715,2018-04-04,11:02:32,Breakfast,BK,"[('Pancake', 3), ('Eggs', 5)]",182.75,-37.8157609,144.9789945,0,6.581,11.5834796
63,ORDY05559,2018-11-14,18:28:43,Dinner,TP,"[('Fish&Chips', 3), ('Salmon', 4), ('Pasta', 7), ('Shrimp', 1)]",515.5,-37.8264328,144.99780780000003,0,10.115,14.1418126
64,ORDC07538,2018-05-06,12:03:22,Lunch,NS,"[('Salad', 2), ('Fries', 8), ('Chicken', 7)]",354.4,-37.80782429999999,144.93392880000002,0,9.976,17.523823800000002
65,ORDC01665,2018-06-30,13:54:55,Lunch,NS,"[('Chicken', 6), ('Burger', 2), ('Fries', 8), ('Steak', 7), ('Salad', 1)]",682.2,-37.8164377,144.967108,0,8.195,16.0423579
66,ORDY01172,2018-04-18,11:32:57,Breakfast,TP,"[('Pancake', 4), ('Cereal', 8)]",265.0,-37.8156715,144.9738142,0,8.334,10.951404400000001
67,ORDX01951,2018-06-17,13:34:38,Lunch,BK,"[('Burger', 8), ('Salad', 7), ('Chicken', 10), ('Fries', 1)]",700.4,-37.8097112,144.9554654,0,8.212,17.064611300000003
68,ORDZ06133,2018-05-05,12:03:22,Lunch,NS,"[('Steak', 10), ('Chicken', 4)]",578.0,-37.81406629999999,144.9446655,0,9.281,16.9039358
69,ORDZ06389,2018-01-07,08:10:08,Breakfast,NS,"[('Coffee', 5), ('Eggs', 5)]",147.5,-37.8125407,144.9364331,1,10.044,8.4903026
70,ORDK08567,2018-03-05,10:01:41,Breakfast,BK,"[('Coffee', 10), ('Pancake', 7)]",244.75,-37.802712400000004,144.9651559,0,7.626,12.744758500000001
71,ORDB02829,2018-04-18,11:32:57,Breakfast,TP,"[('Eggs', 10), ('Cereal', 7)]",367.0,-37.8039159,144.96996140000002,0,9.586,12.4516004
72,ORDX01879,2018-12-13,19:29:34,Dinner,BK,"[('Shrimp', 5), ('Fish&Chips', 7)]",515.0,-37.817798100000005,144.93176830000002,0,10.603,17.6517546
73,ORDX00528,2018-03-17,10:21:58,Breakfast,BK,"[('Eggs', 3), ('Coffee', 3), ('Cereal', 1)]",109.5,-37.8205902,144.9838249,0,6.479,13.5712629
74,ORDK03245,2018-07-10,14:15:12,Lunch,BK,"[('Chicken', 4), ('Fries', 4), ('Burger', 2)]",238.0,-37.8245576,144.9848589,0,6.812,12.6115179
75,ORDB05636,2018-05-21,12:33:48,Lunch,TP,"[('Salad', 5), ('Fries', 5)]",146.0,-37.806948799999994,144.9451511,0,10.095,13.3241228
76,ORDZ00093,2018-03-30,10:52:23,Breakfast,NS,"[('Eggs', 10), ('Cereal', 4)]",304.0,-37.8081012,144.96032219999998,0,7.606,13.3184955
77,ORDA09693,2018-06-16,13:24:30,Lunch,BK,"[('Burger', 3), ('Salad', 4), ('Fries', 8), ('Steak', 10)]",707.8,-37.8127925,145.0105819,0,3.594,11.6863823
78,ORDK03960,2018-05-30,12:54:05,Lunch,BK,"[('Burger', 4), ('Steak', 7)]",439.0,-37.8004794,144.9581878,0,8.3,13.948414699999999
79,ORDB05347,2018-04-27,11:43:05,Breakfast,TP,"[('Eggs', 3), ('Pancake', 10)]",308.5,-37.8008898,144.9875595,0,10.806,13.242806900000001
80,ORDZ09203,2018-11-19,18:38:52,Dinner,NS,"[('Salmon', 1), ('Fish&Chips', 7), ('Pasta', 6), ('Shrimp', 6)]",775.0,-37.816813700000004,145.0088002,0,10.743,16.960632699999998
81,ORDJ05392,2018-05-11,12:13:31,Lunch,TP,"[('Burger', 4), ('Chicken', 7), ('Salad', 3)]",399.6,-37.8250996,145.0100926,0,11.56,14.9686742
82,ORDY08785,2018-08-21,15:36:20,Lunch,TP,"[('Burger', 6), ('Fries', 5), ('Steak', 8), ('Salad', 5)]",692.0,-37.798632,144.9665798,0,10.068999999999999,13.578090300000001
83,ORDI07394,2018-06-21,13:34:38,Lunch,NS,"[('Chicken', 6), ('Fries', 10), ('Steak', 4), ('Burger', 3)]",585.0,-37.8164963,144.9458666,0,9.297,14.6642173
84,ORDK00971,2018-03-20,10:32:06,Breakfast,BK,"[('Pancake', 5), ('Coffee', 6), ('Eggs', 4), ('Cereal', 4)]",338.25,-37.8120093,144.9591772,0,7.919,13.229202599999999
85,ORDI05889,2018-09-06,16:06:45,Dinner,NS,"[('Fish&Chips', 4), ('Salmon', 6), ('Pasta', 4)]",496.0,-37.8086826,144.9784657,0,7.566,13.519981
86,ORDZ07545,2018-08-23,15:46:28,Lunch,NS,"[('Burger', 10), ('Fries', 7), ('Salad', 1)]",411.2,-37.8264748,144.9516952,0,10.134,15.557644699999999
88,ORDX07951,2018-10-12,17:27:53,Dinner,BK,"[('Shrimp', 3), ('Fish&Chips', 2), ('Salmon', 5)]",437.0,-37.823851399999995,144.98385459999997,0,6.7589999999999995,13.3846899
89,ORDB01973,2018-12-16,19:39:43,Dinner,TP,"[('Shrimp', 9), ('Salmon', 10), ('Fish&Chips', 1), ('Pasta', 3)]",1013.5,-37.806617200000005,144.9545023,0,9.351,14.947031099999998
90,ORDI00470,2018-01-18,08:30:25,Breakfast,NS,"[('Coffee', 8), ('Cereal', 8)]",228.0,-37.799821,144.9630497,1,6.806,6.106383599999999
91,ORDB06449,2018-02-23,09:41:24,Breakfast,TP,"[('Eggs', 8), ('Pancake', 10), ('Coffee', 2), ('Cereal', 5)]",538.5,-37.8067555,144.9324706,0,10.995999999999999,13.1627329
92,ORDJ10470,2018-03-20,10:32:06,Breakfast,TP,"[('Pancake', 4), ('Cereal', 9)]",286.0,-37.8099973,144.9582524,0,8.825,11.5274705
93,ORDI00541,2018-08-12,15:26:11,Lunch,NS,"[('Chicken', 9), ('Salad', 3), ('Steak', 5), ('Burger', 1), ('Fries', 3)]",631.6,-37.8162049,144.98865569999998,0,9.146,16.172428
94,ORDI04140,2018-01-11,08:20:16,Breakfast,NS,"[('Eggs', 9), ('Coffee', 8), ('Pancake', 3)]",330.75,-37.816125799999995,144.96411519999998,1,8.258,6.4503597
95,ORDA09952,2018-06-30,13:54:55,Lunch,BK,"[('Salad', 7), ('Burger', 7), ('Steak', 1)]",382.4,-37.810713,144.938994,0,9.817,18.4150974
96,ORDJ03320,2018-06-29,13:54:55,Lunch,TP,"[('Fries', 6), ('Steak', 9), ('Salad', 1), ('Burger', 7)]",711.2,-37.8054394,144.9521354,0,9.532,12.852152
97,ORDY02996,2018-08-05,15:05:54,Lunch,TP,"[('Chicken', 9), ('Salad', 5), ('Fries', 10), ('Steak', 7), ('Burger', 8)]",1057.0,-37.8133565,144.98830980000002,0,9.782,14.463636800000002
98,ORDA01526,2018-03-19,10:32:06,Breakfast,BK,"[('Eggs', 10), ('Pancake', 10), ('Cereal', 3)]",525.5,-37.8150989,144.9522992,0,8.597999999999999,13.7510676
99,ORDJ10908,2018-12-22,19:49:51,Dinner,TP,"[('Pasta', 6), ('Salmon', 7), ('Shrimp', 3)]",614.0,-37.8180076,144.9472038,0,9.282,15.5187726
100,ORDI06687,2018-02-27,09:51:32,Breakfast,NS,"[('Cereal', 3), ('Pancake', 4), ('Coffee', 7), ('Eggs', 3)]",278.5,-37.8063974,144.93179469999998,0,10.242,15.090541199999999
101,ORDK10326,2018-01-31,08:50:42,Breakfast,BK,"[('Eggs', 2), ('Coffee', 1)]",51.5,-37.8234221,144.9571591,0,9.175,14.458674499999999
102,ORDA00325,2018-04-16,11:22:49,Breakfast,BK,"[('Cereal', 4), ('Coffee', 10)]",159.0,-37.811453,144.96467009999998,0,7.425,12.4532155
103,ORDA08910,2018-06-24,13:44:47,Lunch,BK,"[('Fries', 10), ('Salad', 10)]",292.0,-37.825725399999996,144.9828503,0,7.019,16.1783516
104,ORDK01956,2018-07-24,14:45:38,Lunch,BK,"[('Salad', 5), ('Burger', 6), ('Steak', 2), ('Fries', 5), ('Chicken', 3)]",518.0,-37.8122155,145.01596730000003,0,3.53,8.883033099999999
105,ORDI07546,2018-11-21,18:38:52,Dinner,NS,"[('Pasta', 7), ('Salmon', 9)]",561.5,-37.813099,144.93642649999998,0,10.25,16.1390456
106,ORDJ01260,2018-06-11,13:14:21,Lunch,TP,"[('Fries', 1), ('Burger', 5), ('Steak', 7)]",482.0,-37.8240667,144.9436291,0,9.169,12.5463525
107,ORDI06577,2018-01-13,08:20:16,Breakfast,NS,"[('Cereal', 9), ('Eggs', 4), ('Coffee', 8), ('Pancake', 2)]",385.5,-37.8215124,144.9450873,1,10.003,8.9272162
108,ORDJ04843,2018-12-14,19:29:34,Dinner,TP,"[('Fish&Chips', 1), ('Salmon', 8), ('Pasta', 8)]",583.0,-37.7995959,144.96054109999997,0,9.795,13.9392807
109,ORDK04041,2018-04-25,11:43:05,Breakfast,BK,"[('Coffee', 4), ('Pancake', 9)]",248.25,-37.8183509,144.9967469,0,5.119,10.266486599999999
110,ORDI03846,2018-02-23,09:41:24,Breakfast,NS,"[('Eggs', 9), ('Coffee', 1)]",205.5,-37.806219299999995,144.93257519999997,0,10.197000000000001,15.2923329
111,ORDY06283,2018-12-31,20:00:00,Dinner,TP,"[('Fish&Chips', 9), ('Shrimp', 1), ('Salmon', 1), ('Pasta', 8)]",630.0,-37.805429499999995,145.00462919999998,0,11.947000000000001,15.9765013
112,ORDB04766,2018-07-18,14:35:29,Lunch,TP,"[('Salad', 3), ('Steak', 10)]",501.6,-37.8202153,144.9602068,0,7.68,11.0359457
113,ORDZ00179,2018-03-11,10:11:49,Breakfast,NS,"[('Cereal', 1), ('Pancake', 7), ('Coffee', 8)]",250.75,-37.8046039,144.9631487,0,7.117000000000001,13.8065741
114,ORDX10436,2018-12-30,20:00:00,Dinner,BK,"[('Fish&Chips', 9), ('Pasta', 8), ('Shrimp', 5)]",805.0,-37.815645,144.937896,0,9.964,19.8431803
115,ORDY07385,2018-05-22,12:33:48,Lunch,TP,"[('Salad', 8), ('Steak', 1), ('Chicken', 9), ('Fries', 2), ('Burger', 8)]",742.6,-37.807004,144.9452761,0,10.082,12.960151
116,ORDC05836,2018-02-28,09:51:32,Breakfast,NS,"[('Cereal', 3), ('Pancake', 5), ('Eggs', 7)]",338.25,-37.8126689,145.0002816,0,9.683,14.733344400000002
117,ORDJ03076,2018-12-10,19:19:26,Dinner,TP,"[('Shrimp', 8), ('Pasta', 9), ('Fish&Chips', 5), ('Salmon', 8)]",1182.5,-37.801650200000005,144.974752,0,9.994,13.703247099999999
118,ORDB01067,2018-10-16,17:27:53,Dinner,TP,"[('Salmon', 5), ('Pasta', 5), ('Shrimp', 5), ('Fish&Chips', 7)]",857.5,-37.8204275,144.9910395,0,9.727,13.8956671
119,ORDC02939,2018-05-21,12:33:48,Lunch,NS,"[('Steak', 5), ('Fries', 5), ('Salad', 7), ('Burger', 7), ('Chicken', 9)]",910.4,-37.818473,145.0150342,0,11.802999999999999,17.135921600000003
120,ORDJ10376,2018-12-31,20:00:00,Dinner,TP,"[('Fish&Chips', 5), ('Shrimp', 1)]",229.0,-37.821075,144.9694435,0,7.742999999999999,12.459437800000002
121,ORDX00857,2018-06-09,13:14:21,Lunch,BK,"[('Burger', 8), ('Steak', 8), ('Salad', 8)]",745.6,-37.8231295,144.98909519999998,0,6.4,14.571227599999999
122,ORDK00002,2018-02-03,09:00:50,Breakfast,BK,"[('Pancake', 6), ('Cereal', 2), ('Eggs', 5), ('Coffee', 1)]",305.0,-37.8171697,144.9532725,0,8.666,15.9120946
123,ORDB10394,2018-11-25,18:49:00,Dinner,TP,"[('Shrimp', 8), ('Pasta', 4), ('Salmon', 1)]",583.0,-37.8199344,144.98121369999998,0,8.865,14.3435057
124,ORDJ02513,2018-09-15,16:27:02,Dinner,TP,"[('Salmon', 10), ('Shrimp', 1), ('Pasta', 8), ('Fish&Chips', 4)]",824.0,-37.815805499999996,144.95820469999998,0,8.167,14.0593916
125,ORDC04171,2018-11-25,18:49:00,Dinner,NS,"[('Fish&Chips', 10), ('Pasta', 5), ('Shrimp', 4), ('Salmon', 4)]",867.5,-37.8211104,144.9827909,0,9.052,17.936662899999998
126,ORDA08097,2018-09-09,16:16:54,Dinner,BK,"[('Salmon', 1), ('Pasta', 6)]",206.0,-37.8064151,144.98346930000002,0,5.91,14.7659062
127,ORDY05600,2018-06-09,13:14:21,Lunch,TP,"[('Chicken', 8), ('Fries', 7), ('Burger', 10), ('Steak', 2)]",740.0,-37.8050219,145.0150167,0,12.99,17.3255956
128,ORDX04267,2018-10-20,17:38:01,Dinner,BK,"[('Pasta', 5), ('Fish&Chips', 9)]",452.5,-37.808196200000005,144.97330580000002,0,6.522,15.4847426
129,ORDI05401,2018-01-06,08:10:08,Breakfast,NS,"[('Pancake', 3), ('Cereal', 10), ('Coffee', 8)]",342.75,-37.80158529999999,144.94843740000002,1,8.244,8.2469514
130,ORDI04987,2018-05-17,12:23:39,Lunch,NS,"[('Burger', 8), ('Chicken', 9), ('Steak', 1), ('Salad', 1), ('Fries', 8)]",694.2,-37.823825299999996,144.922415,0,12.056,18.29135
131,ORDI09656,2018-07-04,14:05:04,Lunch,NS,"[('Chicken', 8), ('Fries', 7)]",340.0,-37.8041839,145.0028001,0,9.338,14.613137300000002
133,ORDJ04983,2018-08-16,15:26:11,Lunch,TP,"[('Steak', 6), ('Burger', 1), ('Chicken', 9), ('Fries', 8)]",685.0,-37.8113705,145.0087543,0,11.794,14.720805300000002
134,ORDB01647,2018-11-19,18:38:52,Dinner,TP,"[('Salmon', 3), ('Shrimp', 9), ('Fish&Chips', 1), ('Pasta', 9)]",891.5,-37.8237969,144.9902366,0,9.493,13.458343300000003
135,ORDY04432,2018-01-02,08:00:00,Breakfast,TP,"[('Eggs', 3), ('Cereal', 5), ('Pancake', 3), ('Coffee', 3)]",266.25,-37.8127164,144.9429385,1,9.84,6.2645658
136,ORDC10051,2018-01-27,08:50:42,Breakfast,NS,"[('Pancake', 3), ('Eggs', 5), ('Cereal', 6), ('Coffee', 2)]",323.75,-37.799333000000004,144.963155,0,6.892,13.790811900000001
137,ORDC02210,2018-12-12,19:29:34,Dinner,NS,"[('Salmon', 7), ('Shrimp', 2), ('Fish&Chips', 3), ('Pasta', 10)]",775.0,-37.8215784,144.9554098,0,9.467,15.614712699999998
138,ORDY00863,2018-02-02,09:00:50,Breakfast,TP,"[('Cereal', 10), ('Coffee', 4), ('Eggs', 4)]",328.0,-37.8233331,144.9608449,0,7.657,10.3157705
139,ORDA03819,2018-10-12,17:27:53,Dinner,BK,"[('Shrimp', 9), ('Pasta', 3), ('Salmon', 3)]",691.5,-37.82445,144.9465365,0,9.629,16.5313439
140,ORDJ02307,2018-08-31,15:56:37,Lunch,TP,"[('Salad', 10), ('Steak', 6), ('Fries', 10), ('Chicken', 2)]",626.0,-37.8070674,144.9376258,0,10.469000000000001,13.7485489
142,ORDJ03253,2018-07-01,13:54:55,Lunch,TP,"[('Steak', 5), ('Chicken', 2), ('Burger', 4), ('Salad', 4)]",481.8,-37.81156729999999,144.9648796,0,8.427,13.132342900000001
143,ORDY05571,2018-04-19,11:32:57,Breakfast,TP,"[('Pancake', 1), ('Coffee', 9), ('Cereal', 6)]",217.75,-37.813274,144.9737564,0,8.622,11.578555999999999
144,ORDZ03197,2018-05-22,12:33:48,Lunch,NS,"[('Fries', 3), ('Salad', 5), ('Burger', 10)]",432.0,-37.8072521,144.94534119999997,0,9.056000000000001,14.9849937
145,ORDB02051,2018-07-30,14:55:46,Lunch,TP,"[('Salad', 1), ('Fries', 4), ('Steak', 9)]",470.2,-37.8238054,144.9624781,0,7.694,11.5508523
146,ORDJ10887,2018-03-02,09:51:32,Breakfast,TP,"[('Eggs', 3), ('Pancake', 7), ('Coffee', 9), ('Cereal', 8)]",471.25,-37.8054867,144.9351555,0,10.765,13.044886199999999
147,ORDX00639,2018-12-22,19:49:51,Dinner,BK,"[('Shrimp', 4), ('Salmon', 8), ('Fish&Chips', 8), ('Pasta', 4)]",934.0,-37.818380499999996,144.94735830000002,0,9.26,18.794679300000002
148,ORDX04300,2018-01-05,08:00:00,Breakfast,BK,"[('Cereal', 2), ('Eggs', 10)]",262.0,-37.8115651,144.9720377,1,6.882000000000001,5.8607089000000006
